text,label,lang,channel,family,template,source,split
Camtel : votre compte sera suspendu dans 48h suite à une activité inhabituelle. Confirmez votre code PIN sur http://momo-bonus.xyz/confirm,1,fr,sms,momo_suspension,p0,synthetic,train
MTN MoMo : votre compte sera suspendu dans 24h suite à une activité inhabituelle. Confirmez votre code PIN sur http://mtn-cm.top/confirm,1,fr,sms,momo_suspension,p0,synthetic,train
MTN : votre compte sera suspendu dans 48h suite à une activité inhabituelle. Confirmez votre code PIN sur http://momo-bonus.xyz/confirm,1,fr,sms,momo_suspension,p0,synthetic,train
Orange : votre compte sera suspendu dans 48h suite à une activité inhabituelle. Confirmez votre code PIN sur http://mtn-momo-verif.tk/confirm,1,fr,sms,momo_suspension,p0,synthetic,train
Orange : votre compte sera suspendu dans 48h suite à une activité inhabituelle. Confirmez votre code PIN sur http://momo-bonus.xyz/confirm,1,fr,sms,momo_suspension,p0,synthetic,train
MTN MoMo : votre compte sera suspendu dans 24h suite à une activité inhabituelle. Confirmez votre code PIN sur http://orange-money-secure.ga/confirm,1,fr,sms,momo_suspension,p0,synthetic,train
Camtel : votre compte sera suspendu dans 48h suite à une activité inhabituelle. Confirmez votre code PIN sur http://orange-money-secure.ga/confirm,1,fr,sms,momo_suspension,p0,synthetic,train
Nexttel : votre compte sera suspendu dans 48h suite à une activité inhabituelle. Confirmez votre code PIN sur http://momo-bonus.xyz/confirm,1,fr,sms,momo_suspension,p0,synthetic,train
MTN MoMo : votre compte sera suspendu dans 24h suite à une activité inhabituelle. Confirmez votre code PIN sur http://impots-cm.live/confirm,1,fr,sms,momo_suspension,p0,synthetic,train
Camtel : votre compte sera suspendu dans 2 heures suite à une activité inhabituelle. Confirmez votre code PIN sur http://dhl-cameroun-colis.info/confirm,1,fr,sms,momo_suspension,p0,synthetic,train
MTN MoMo : votre compte sera suspendu dans 1 heure suite à une activité inhabituelle. Confirmez votre code PIN sur http://orange-cm-verify.link/confirm,1,fr,sms,momo_suspension,p0,synthetic,train
Orange Money : votre compte sera suspendu dans 2 heures suite à une activité inhabituelle. Confirmez votre code PIN sur http://impots-cm.live/confirm,1,fr,sms,momo_suspension,p0,synthetic,train
Orange : votre compte sera suspendu dans 1 heure suite à une activité inhabituelle. Confirmez votre code PIN sur http://orange-money-secure.ga/confirm,1,fr,sms,momo_suspension,p0,synthetic,train
Orange : votre compte sera suspendu dans 2 heures suite à une activité inhabituelle. Confirmez votre code PIN sur http://bicec-update.online/confirm,1,fr,sms,momo_suspension,p0,synthetic,train
"Cher client MTN MoMo, votre compte Mobile Money est BLOQUÉ. Pour le réactiver, cliquez ici mtn-momo-verif.tk et saisissez votre code secret.",1,fr,sms,momo_suspension,p1,synthetic,train
"Cher client Orange, votre compte Mobile Money est BLOQUÉ. Pour le réactiver, cliquez ici orange-cm-verify.link et saisissez votre code secret.",1,fr,sms,momo_suspension,p1,synthetic,train
"Cher client Camtel, votre compte Mobile Money est BLOQUÉ. Pour le réactiver, cliquez ici cnps-remboursement.site et saisissez votre code secret.",1,fr,sms,momo_suspension,p1,synthetic,train
"Cher client MTN, votre compte Mobile Money est BLOQUÉ. Pour le réactiver, cliquez ici eneo-paiement.online et saisissez votre code secret.",1,fr,sms,momo_suspension,p1,synthetic,train
"Cher client MTN, votre compte Mobile Money est BLOQUÉ. Pour le réactiver, cliquez ici orange-money-secure.ga et saisissez votre code secret.",1,fr,sms,momo_suspension,p1,synthetic,train
"Cher client Nexttel, votre compte Mobile Money est BLOQUÉ. Pour le réactiver, cliquez ici orange-money-secure.ga et saisissez votre code secret.",1,fr,sms,momo_suspension,p1,synthetic,train
"Cher client MTN, votre compte Mobile Money est BLOQUÉ. Pour le réactiver, cliquez ici dhl-cameroun-colis.info et saisissez votre code secret.",1,fr,sms,momo_suspension,p1,synthetic,train
"Cher client Orange Money, votre compte Mobile Money est BLOQUÉ. Pour le réactiver, cliquez ici momo-bonus.xyz et saisissez votre code secret.",1,fr,sms,momo_suspension,p1,synthetic,train
"Cher client MTN MoMo, votre compte Mobile Money est BLOQUÉ. Pour le réactiver, cliquez ici bicec-update.online et saisissez votre code secret.",1,fr,sms,momo_suspension,p1,synthetic,train
"Cher client MTN MoMo, votre compte Mobile Money est BLOQUÉ. Pour le réactiver, cliquez ici cnps-remboursement.site et saisissez votre code secret.",1,fr,sms,momo_suspension,p1,synthetic,train
"Cher client Nexttel, votre compte Mobile Money est BLOQUÉ. Pour le réactiver, cliquez ici cnps-remboursement.site et saisissez votre code secret.",1,fr,sms,momo_suspension,p1,synthetic,train
"Cher client MTN MoMo, votre compte Mobile Money est BLOQUÉ. Pour le réactiver, cliquez ici camtel-promo.click et saisissez votre code secret.",1,fr,sms,momo_suspension,p1,synthetic,train
"Cher client Nexttel, votre compte Mobile Money est BLOQUÉ. Pour le réactiver, cliquez ici afriland-secure-login.com et saisissez votre code secret.",1,fr,sms,momo_suspension,p1,synthetic,train
"Cher client Nexttel, votre compte Mobile Money est BLOQUÉ. Pour le réactiver, cliquez ici momo-bonus.xyz et saisissez votre code secret.",1,fr,sms,momo_suspension,p1,synthetic,train
Orange: your account will be suspended within 2 heures due to unusual activity. Verify your PIN now at http://orange-cm-verify.link,1,en,sms,momo_suspension,p2,synthetic,train
Orange: your account will be suspended within 48h due to unusual activity. Verify your PIN now at http://camtel-promo.click,1,en,sms,momo_suspension,p2,synthetic,train
Orange: your account will be suspended within 2 heures due to unusual activity. Verify your PIN now at http://eneo-paiement.online,1,en,sms,momo_suspension,p2,synthetic,train
Camtel: your account will be suspended within 2 heures due to unusual activity. Verify your PIN now at http://cnps-remboursement.site,1,en,sms,momo_suspension,p2,synthetic,train
MTN: your account will be suspended within 12h due to unusual activity. Verify your PIN now at http://orange-cm-verify.link,1,en,sms,momo_suspension,p2,synthetic,train
Orange Money: your account will be suspended within 12h due to unusual activity. Verify your PIN now at http://camtel-promo.click,1,en,sms,momo_suspension,p2,synthetic,train
